frames,action_values
8405,16.7815
8406,16.0565
8407,16.2228
8408,16.2572
8409,16.2824
8410,16.2858
8411,16.1454
8412,16.1825
8413,16.186
8414,16.6667
8415,16.56
8416,16.6922
8417,17.0015
8418,17.2051
8419,17.1183
8420,16.8346
8421,16.9889
8422,16.7127
8423,16.8308
8424,16.8113
8425,16.8505
8426,16.7343
8427,16.7195
8428,16.7165
8429,16.7431
8430,16.8068
8431,17.0415
8432,17.0996
8433,17.0763
8434,17.2662
8435,17.1153
8436,16.8118
8437,16.7268
8438,17.035
8439,17.1515
8440,17.1381
8441,17.1709
8442,17.2749
8443,17.0932
8444,17.1161
8445,17.0481
8446,17.2045
8447,17.0731
8448,17.1337
8449,17.0363
8450,17.2552
8451,17.2265
8452,16.8881
8453,16.6167
8454,16.2262
8455,16.2153
8456,16.2495
8457,16.2524
8458,16.1775
8459,15.975
8460,15.9397
8461,15.9489
8462,15.956
8463,16.0806
8464,16.197
8465,16.1812
8466,16.0309
8467,15.941
8468,15.8946
8469,15.9591
8470,16.0725
8471,16.2745
8472,16.2444
8473,16.2208
8474,16.1277
8475,15.9528
8476,15.9106
8477,15.88
8478,15.917
8479,15.9516
8480,16.1607
8481,16.1883
8482,15.917
8483,16.2254
8484,16.2872
8485,16.6777
8486,16.9064
8487,16.4358
8488,16.9518
8489,16.8801
8490,16.3226
8491,16.4365
8492,16.4314
8493,16.4758
8494,16.55
8495,16.7161
8496,16.5908
8497,16.6708
8498,16.6961
8499,17.0069
8500,16.9057
