epoch,episode_train,validate_values,evaluate_reward,train_time,test_time,steps_per_second
137,565,2.5587,395.6667,725,156,344.3561
138,587,2.5858,389.3333,726,114,344.1531
139,637,2.7115,371.2333,726,159,344.0020
140,616,2.6465,386.2667,726,150,344.2427
141,639,2.7013,383.2333,728,168,343.2795
142,601,2.6435,261.6333,726,173,343.9714
143,587,2.6609,131.6667,726,66,343.9323
144,600,2.6090,379.6333,726,153,344.0917
145,611,2.5662,375.5667,726,141,344.0055
146,615,2.4556,264.7333,725,158,344.7121
147,618,2.4247,195.1333,726,162,344.1428
148,658,2.5357,327.3000,726,99,344.2187
149,584,2.6313,374.3667,726,127,344.0661
150,587,2.6399,366.4333,725,139,344.6105
151,631,2.6665,397.5667,725,130,344.7538
152,571,2.8217,192.0667,733,169,340.6487
153,576,2.7854,388.1333,729,153,342.7522
154,561,2.9390,379.8667,724,169,344.9517
155,567,2.9289,313.6000,724,80,345.0672
156,586,2.8529,419.5333,724,134,345.0180
157,595,2.8560,364.2667,724,148,344.9834
158,597,2.8271,370.3667,724,162,344.8807
159,567,2.8271,397.6333,724,165,344.8970
160,606,2.7275,419.2000,724,154,345.2763
161,601,2.7472,300.7667,724,170,344.9999
162,586,2.7487,368.6667,725,152,344.4795
163,561,2.8736,344.5667,724,95,344.9225
164,653,2.8802,379.2000,725,172,344.7083
165,562,2.8057,227.3667,723,150,345.5820
166,540,2.8915,216.6000,724,149,345.0834
167,601,2.9131,385.7667,724,110,345.0187
168,614,2.8718,157.8000,725,84,344.5487
169,596,2.8187,242.7667,724,139,344.8434
170,561,2.7961,373.1333,724,172,345.0063
171,575,2.6906,394.3667,724,154,345.1784
172,533,2.6304,397.5667,725,150,344.7859
173,558,2.7782,369.7000,724,137,344.9759
174,561,2.7787,252.6667,724,76,345.1397
175,554,2.8720,272.5667,724,124,345.2797
176,603,2.7859,266.3667,724,138,345.0836
177,541,2.7969,395.1000,724,161,345.2367
178,587,2.8017,356.0667,723,136,345.7474
179,571,2.8568,342.3667,724,164,344.9754
180,596,2.7872,380.9667,725,116,344.7674
181,597,2.7249,408.9000,723,130,345.6663
182,567,2.8123,380.7000,725,157,344.6472
183,566,2.7851,379.1333,724,152,344.9398
184,580,2.8218,319.7000,725,133,344.7437
185,596,2.8133,409.8333,724,158,345.1464
186,601,2.8095,378.2000,724,137,345.0890
187,568,2.6926,431.2333,725,125,344.7458
188,582,2.6570,368.5000,724,123,344.9295
189,600,2.5853,303.6000,724,157,345.1063
190,581,2.5716,366.1333,724,143,344.9296
191,551,2.6346,347.7333,724,170,345.1126
192,563,2.6555,368.6333,725,133,344.5713
193,586,2.6890,397.6333,723,130,345.4490
194,592,2.5399,355.0333,724,171,345.1916
195,591,2.5670,319.1333,725,88,344.7109
196,616,2.5977,350.5667,724,105,345.0332
197,586,2.5226,327.0333,725,149,344.6696
198,603,2.5229,414.2333,726,151,344.2030
199,579,2.5621,363.9333,724,136,345.1650
200,607,2.4923,376.6000,725,130,344.7623
