epoch,episode_train,validate_values,evaluate_reward,train_time,test_time,steps_per_second
136,527,5.7581,2576.9667,699,74,357.4502
137,541,5.7873,2496.9333,699,72,357.5016
138,542,5.8381,2694.3667,699,72,357.2581
139,596,5.7877,2096.5,699,57,357.5834
140,571,5.7701,2625.7333,699,71,357.4401
141,562,5.7015,2716.8667,698,83,357.7736
142,594,5.7279,2350.2333,699,64,357.5498
143,576,5.7524,2384.5667,699,73,357.5721
144,553,5.7179,2921.1333,701,82,356.2954
145,506,5.7876,2665.4667,700,76,356.6872
146,589,5.7274,2612.4667,700,75,357.0055
147,546,5.7699,2347.1,699,63,357.6113
148,549,5.8207,2000.8,699,60,357.6301
149,615,5.8449,3015,698,86,357.9046
150,573,5.7991,2715.9,699,75,357.4748
151,561,5.8947,1747.3667,699,51,357.3658
152,557,5.9646,1670.6333,698,52,357.7131
153,604,5.9411,3590.3667,698,97,357.6635
154,550,5.9151,3002.2667,699,90,357.3759
155,568,5.8803,1696,699,48,357.3673
156,517,5.9014,2477.9333,700,70,356.9995
157,556,5.9536,2099.3667,701,56,356.5051
158,568,5.8639,2874.9667,698,81,357.7235
159,596,5.8535,2393.3333,697,73,358.2091
160,609,5.7829,2348.1667,698,68,357.8539
161,590,5.8084,2202.3667,697,62,358.3723
162,549,5.7864,2938.4333,698,83,357.8522
163,481,5.7497,2574.9,697,74,358.2145
164,589,5.7176,2528.1333,697,66,358.3009
165,590,5.7354,3306.4,698,93,358.0522
166,591,5.7121,1854.8667,697,55,358.5411
167,578,5.7083,2792.4333,698,81,358.0592
168,606,5.6481,2433.1667,698,66,358.1009
169,623,5.6845,2903.4667,697,78,358.2725
170,559,5.6984,1957.5333,698,54,358.0684
171,577,5.7298,2893.1333,700,82,356.9044
172,656,5.71,2435.8333,699,66,357.1565
173,573,5.6875,2099.1667,698,58,357.7395
174,531,5.7454,3744.9333,698,109,357.9279
175,547,5.7777,3349,698,85,357.8274
176,546,5.8012,3458.8333,698,93,357.7258
177,529,5.785,3166.4667,699,87,357.3581
178,541,5.7341,1271.4,698,40,358.097
179,613,5.7338,2604.6333,697,73,358.1671
180,555,5.6963,2704.2667,697,76,358.3258
181,521,5.7169,2151.4,697,64,358.2273
182,534,5.7904,2644.2333,698,75,358.0263
183,538,5.813,2453.0667,698,69,358.1183
184,535,5.7818,3400.9333,697,99,358.4284
185,560,5.8339,1827.6,697,52,358.2097
186,564,5.7775,2232.9,697,64,358.3549
187,543,5.8065,3213.6333,698,84,357.9946
188,548,5.8442,2743.4667,698,79,358.1013
189,550,5.8808,1935.6667,698,59,358.1014
190,552,5.8209,2674.9,698,75,358.0859
191,582,5.7808,3005.3667,697,82,358.5227
192,505,5.723,3028.1333,698,81,358.1583
193,571,5.7312,2912.3333,697,80,358.571
194,569,5.7168,3152,697,90,358.3558
195,502,5.7161,2910.6,698,81,358.1453
196,577,5.7643,2035.2667,697,60,358.2835
197,534,5.7277,2606.7333,697,73,358.1734
198,557,5.754,2161.7667,697,60,358.2304
199,608,5.7052,2493.9667,697,71,358.3618
200,588,5.8067,3498.0333,697,98,358.3363
