epoch,episode_train,validate_values,evaluate_reward,train_time,test_time,steps_per_second
132,849,7.2004,1980.6333,622,57,401.7944
133,874,7.2868,1204.7667,622,37,401.5567
134,860,7.2588,1482.8333,622,43,401.7204
135,853,7.2107,1475.3333,622,40,401.6017
136,809,7.2055,1791.6000,621,54,402.2047
137,835,7.0805,2642.5333,622,73,401.4345
138,831,7.0490,1263.9667,622,38,401.6378
139,856,6.9514,1565.8000,622,45,401.8299
140,885,6.9943,1286.6000,622,37,401.7410
141,927,6.9289,1284.1333,621,39,402.2420
142,870,7.0404,1428.1333,622,41,401.6693
143,889,7.0171,2850.1667,622,84,401.5838
144,824,7.0150,1686.3333,621,48,401.9521
145,815,7.0249,1846.2000,623,53,401.2417
146,826,7.0004,1661.6000,621,49,401.9641
147,838,6.9229,1589.4000,622,56,401.6286
148,803,6.9356,1760.4000,622,47,401.9212
149,839,6.9627,1804.6333,622,57,401.8426
150,832,6.9980,1372.6000,622,39,401.3309
151,902,7.0754,1918.3333,622,52,401.5599
152,845,6.9711,1503.2000,621,43,402.1108
153,809,7.0056,1403.8333,622,41,401.7139
154,858,7.0445,1974.4000,623,58,401.2643
155,856,7.0275,1333.8333,623,40,401.1028
156,870,7.0716,1585.6000,622,47,401.6133
157,884,7.0372,1480.1667,623,45,400.8816
158,843,7.1552,2316.4333,622,68,401.3845
159,830,7.0846,1850.2333,622,53,401.7262
160,854,6.9799,1827.0000,622,53,401.7930
161,837,6.9644,1794.7000,622,49,401.5699
162,834,7.0185,1594.0000,622,44,401.8157
163,821,7.0252,1613.9667,623,45,401.2005
164,861,6.9926,1581.2333,622,53,401.3502
165,826,6.8397,2557.1667,622,80,401.3073
166,790,6.8203,1561.3333,620,54,402.5955
167,826,6.8610,1893.3333,622,57,401.5814
168,796,6.9473,1920.8667,622,53,401.5365
169,825,6.8972,2161.9667,622,60,401.6623
170,809,6.8008,1983.4667,621,56,402.1663
171,824,6.8804,1725.3333,621,47,402.3687
172,791,6.9101,1953.3667,622,57,401.5090
173,831,6.9067,2755.3000,622,95,401.8115
174,826,6.9176,2645.4333,622,82,401.3749
175,801,6.9023,974.2333,622,36,401.3755
176,807,6.9296,1714.7000,621,49,401.9887
177,813,6.9422,1870.3000,622,52,401.7898
178,793,6.9301,935.6667,621,33,401.9537
179,774,6.8653,2526.0000,622,78,401.8348
180,833,6.9041,1972.2667,622,64,401.5201
181,810,6.8670,1428.3667,622,42,401.4168
182,850,6.8629,1448.0667,623,41,400.9549
183,785,6.8907,1685.8667,622,46,401.3554
184,836,6.9025,1922.6000,622,51,401.5188
185,809,6.9005,1784.5000,623,58,401.2419
186,810,6.9218,1703.4667,620,50,402.6062
187,805,6.9234,1748.5000,622,50,401.4596
188,805,6.9209,1614.0000,622,47,401.8146
189,797,6.9616,1435.1000,621,41,402.1849
190,798,6.9905,2057.9000,622,65,401.6699
191,865,7.0224,1746.8667,622,50,401.7336
192,798,7.0270,1589.4000,623,44,401.1651
193,793,7.0371,1545.1667,623,44,400.8246
194,827,6.9669,1388.2333,622,41,401.8114
195,834,7.0448,2328.7667,621,114,402.1226
196,781,7.0131,2536.6333,622,79,401.8486
197,804,7.0357,1954.2667,622,55,401.8211
198,775,6.9856,2214.0000,621,61,402.0730
199,788,6.9653,1361.9000,622,37,401.3051
200,819,6.8609,1681.9000,621,56,401.9318
