epoch,episode_train,validate_values,evaluate_reward,train_time,test_time,steps_per_second
134,538,10.7689,3382.0000,655,91,381.3668
135,508,10.6203,2040.6667,655,61,381.5153
136,469,10.7345,2549.3333,655,72,381.3708
137,473,10.8598,2047.3333,655,86,381.2006
138,487,10.6275,3839.3333,656,90,380.9169
139,510,10.6222,5480.3333,656,109,380.8977
140,493,10.9638,2624.3333,656,73,380.7699
141,599,10.9429,1748.0000,654,67,382.0844
142,545,10.9793,3558.0000,655,82,381.5290
143,522,10.7550,2285.0000,655,66,381.4916
144,499,10.7349,3813.0000,655,86,381.3651
145,517,10.7626,2060.6667,654,60,382.1563
146,573,10.8129,1040.0000,654,49,382.0103
147,584,10.7540,3977.0000,655,94,381.5378
148,473,10.9031,762.6667,655,44,381.4549
149,536,10.9446,3219.6667,656,86,381.0655
150,514,11.1106,4737.6667,655,89,381.4879
151,541,11.0013,2871.0000,655,68,381.6502
152,550,11.0125,3240.0000,655,75,381.5250
153,523,11.1479,2123.6667,655,78,381.6572
154,486,10.9679,2649.3333,654,79,381.7885
155,558,10.7271,5396.3333,655,98,381.6115
156,530,10.9548,4059.6667,654,85,381.9417
157,453,10.9613,2943.0000,655,84,381.5875
158,552,10.9662,1904.6667,654,64,381.7087
159,574,10.9345,4957.6667,654,99,382.0227
160,491,11.1096,668.3333,655,43,381.5369
161,528,10.9927,5064.6667,655,95,381.6675
162,461,10.9980,3468.0000,655,87,381.1106
163,529,11.1239,2981.3333,655,75,381.2992
164,498,11.0926,4073.3333,655,95,381.1797
165,515,11.0668,3533.6667,655,81,381.3107
166,510,11.0773,4259.3333,653,86,382.3716
167,528,11.3042,3916.0000,654,91,381.6961
168,543,10.9822,2648.0000,654,77,381.9700
169,524,10.8645,1328.0000,655,54,381.6254
170,491,10.7683,4156.6667,655,90,381.4162
171,454,11.0317,4015.6667,655,93,381.1650
172,528,11.1515,3323.3333,655,70,381.4173
173,574,11.2178,2476.6667,654,66,381.9638
174,524,11.1264,5443.3333,654,99,381.9691
175,464,11.0820,4085.0000,656,96,381.0725
176,454,11.1588,6340.6667,657,109,380.4332
177,518,11.0952,3929.0000,657,83,380.0607
178,503,11.0799,2774.3333,656,68,380.6300
179,491,10.9336,1251.6667,656,67,380.8736
180,483,10.9563,1214.6667,656,60,380.9429
181,700,11.7622,563.3333,654,45,381.7383
182,624,12.0431,1093.3333,655,62,381.3211
183,569,11.9708,1922.3333,656,73,380.9725
184,504,11.8268,4860.6667,656,98,380.6152
185,479,11.8173,3222.0000,656,89,381.0552
186,478,11.7066,4332.6667,656,95,380.7613
187,465,11.7672,2881.6667,655,78,381.4536
188,485,11.5647,3418.6667,655,83,381.2315
189,479,11.1653,3643.6667,655,90,381.1796
190,488,11.1152,2464.0000,656,75,380.8151
191,491,11.0468,1741.0000,655,67,381.5408
192,466,10.9804,5236.6667,655,97,381.1271
193,445,10.9587,2733.6667,656,77,380.7969
194,465,10.8940,6210.0000,655,99,381.3391
195,474,10.8899,4002.6667,658,86,379.4202
196,449,10.7030,3447.0000,657,90,380.2743
197,447,10.6774,1280.6667,656,54,380.8419
198,498,10.8164,1777.6667,656,70,380.7115
199,494,10.9072,1165.3333,655,60,381.1251
200,491,10.7944,997.0000,656,51,381.0290
